time,"(-3.0, 'away')","(-3.0, 'away_smooth')","(-3.0, 'draw')","(-3.0, 'draw_smooth')","(-3.0, 'home')","(-3.0, 'home_smooth')","(-3.0, 'tot_games')","(-2.0, 'away')","(-2.0, 'away_smooth')","(-2.0, 'draw')","(-2.0, 'draw_smooth')","(-2.0, 'home')","(-2.0, 'home_smooth')","(-2.0, 'tot_games')","(-1.0, 'away')","(-1.0, 'away_smooth')","(-1.0, 'draw')","(-1.0, 'draw_smooth')","(-1.0, 'home')","(-1.0, 'home_smooth')","(-1.0, 'tot_games')","(0.0, 'away')","(0.0, 'away_smooth')","(0.0, 'draw')","(0.0, 'draw_smooth')","(0.0, 'home')","(0.0, 'home_smooth')","(0.0, 'tot_games')","(1.0, 'away')","(1.0, 'away_smooth')","(1.0, 'draw')","(1.0, 'draw_smooth')","(1.0, 'home')","(1.0, 'home_smooth')","(1.0, 'tot_games')","(2.0, 'away')","(2.0, 'away_smooth')","(2.0, 'draw')","(2.0, 'draw_smooth')","(2.0, 'home')","(2.0, 'home_smooth')","(2.0, 'tot_games')","(3.0, 'away')","(3.0, 'away_smooth')","(3.0, 'draw')","(3.0, 'draw_smooth')","(3.0, 'home')","(3.0, 'home_smooth')","(3.0, 'tot_games')"
20,0.5,0.7614740611457564,0.5,0.24328521763180488,0.0,0.0,2.0,0.9122807017543859,0.884379665613465,0.07017543859649122,0.09961117863779864,0.017543859649122806,0.027973168917014894,57.0,0.5380952380952381,0.5396497593007399,0.25555555555555554,0.2526486069892983,0.20634920634920634,0.20747120687384835,630.0,0.31185105621195847,0.3096859054525384,0.19011815252416756,0.19112837664286342,0.49803079126387395,0.4991841530308088,2793.0,0.10407239819004525,0.11098930386953577,0.17986425339366516,0.1760793808144077,0.7160633484162896,0.712874337964135,884.0,0.018867924528301886,0.029027383353226476,0.03773584905660377,0.07185207884173384,0.9433962264150944,0.9010729648699826,106.0,0.0,0.0,0.14285714285714285,0.1406845028519329,0.8571428571428571,0.8593344382158082,7.0
21,0.5,0.7785638537927331,0.5,0.2277204621696688,0.0,0.0,2.0,0.90625,0.8798201806017513,0.0625,0.09758322639099865,0.03125,0.02851037437043143,64.0,0.5409582689335394,0.5422694092221746,0.25193199381761977,0.25339917389725336,0.2071097372488408,0.20417403162890083,647.0,0.3098024871982443,0.3103766386763285,0.19092904169714703,0.19083975934837571,0.49926847110460865,0.4987805555607829,2734.0,0.10816777041942605,0.10925008621349556,0.18211920529801323,0.17786848346131434,0.7097130242825607,0.7131062385020982,906.0,0.025210084033613446,0.027892313127094524,0.04201680672268908,0.05559767024556042,0.9327731092436975,0.9057932144201084,119.0,0.0,0.0,0.14285714285714285,0.12802671286827097,0.8571428571428571,0.8719694117094134,7.0
22,0.8,0.7962294286724668,0.2,0.21182810157447401,0.0,0.0,5.0,0.875,0.875742645442751,0.09375,0.09572614104384276,0.03125,0.0299080340438468,64.0,0.5479041916167665,0.5448148992644383,0.25449101796407186,0.25413237657568233,0.19760479041916168,0.20094246542804464,668.0,0.31082089552238806,0.3111551327427411,0.18992537313432836,0.19055397393284,0.4992537313432836,0.4982885566646807,2680.0,0.10248112189859762,0.10756340401173389,0.18230852211434737,0.17957458312413582,0.7152103559870551,0.7133541737238043,927.0,0.024,0.02691256682041575,0.04,0.05854323979966046,0.936,0.9110947578469507,125.0,0.0,0.0,0.1,0.11558483723446983,0.9,0.8843790814908487,10.0
23,0.8,0.8111925983631166,0.2,0.1944067769847709,0.0,0.0,5.0,0.8428571428571429,0.8715765032759718,0.12857142857142856,0.09584125039123602,0.02857142857142857,0.03187624885052016,70.0,0.552437223042836,0.5474209716034352,0.2481536189069424,0.25465125942265626,0.19940915805022155,0.19781061665597752,677.0,0.3118566526877621,0.311957709757327,0.19176515440335493,0.19033108374062394,0.49637819290888296,0.49771427982349814,2623.0,0.10344827586206896,0.10589668990465907,0.1786833855799373,0.18118275566374875,0.7178683385579937,0.7135511707549466,957.0,0.022058823529411766,0.026095987180582828,0.058823529411764705,0.060274551865131525,0.9191176470588235,0.917115483316353,136.0,0.0,0.0,0.1,0.10321882899333856,0.9,0.8967183747339075,10.0
24,0.8333333333333334,0.8268820530919664,0.16666666666666666,0.17589298815404403,0.0,0.0,6.0,0.8732394366197183,0.867322941621771,0.09859154929577464,0.09732666784689532,0.028169014084507043,0.03403381188923681,71.0,0.5487106017191977,0.5501900165159177,0.25358166189111747,0.2548487348579407,0.1977077363896848,0.1948199078225701,698.0,0.3117692907248636,0.31271235204674075,0.19056897895557287,0.19024206281536019,0.4976617303195635,0.49705910218521093,2566.0,0.10644831115660185,0.10425964168515824,0.1811668372569089,0.18264703148369904,0.7123848515864892,0.7137107711880795,977.0,0.02027027027027027,0.02542912786252693,0.060810810810810814,0.06023101940057014,0.918918918918919,0.9179505080593353,148.0,0.0,0.0,0.08333333333333333,0.09095511652503918,0.9166666666666666,0.9089570303370073,12.0
25,0.9,0.8419418776743344,0.1,0.16199407023680001,0.0,0.0,10.0,0.8513513513513513,0.8629779515679449,0.10810810810810811,0.09934573941104584,0.04054054054054054,0.03616275920403951,74.0,0.5514809590973202,0.5531431849787345,0.25811001410437234,0.25475620371481383,0.19040902679830748,0.19194045416317143,709.0,0.31202858277094087,0.31337890512075084,0.19015482334259626,0.19030917200648964,0.4978165938864629,0.4963392700797565,2519.0,0.10462776659959759,0.10270963888599427,0.1790744466800805,0.18397307102849378,0.716297786720322,0.7138133656245459,994.0,0.02531645569620253,0.024976420454537532,0.06962025316455696,0.05954377731401033,0.9050632911392406,0.9177360150227818,158.0,0.0,0.0,0.07692307692307693,0.07931996878003099,0.9230769230769231,0.9205268181196218,13.0
26,1.0,0.8560230915841311,0.0,0.14819495410771805,0.0,0.0,9.0,0.8589743589743589,0.8586425589861267,0.08974358974358974,0.1014986233433129,0.05128205128205128,0.03828318263592623,78.0,0.5516759776536313,0.5562468522848972,0.26256983240223464,0.25451148142662783,0.1857541899441341,0.18906640382936754,716.0,0.31500202183582693,0.31393574892542525,0.1884350990699555,0.19052118877828622,0.49656287909421754,0.4955840523324322,2473.0,0.10157790927021697,0.10129005922185462,0.1844181459566075,0.18519181903079338,0.7140039447731755,0.7138567386342421,1014.0,0.023255813953488372,0.024856642540311908,0.06395348837209303,0.0585870664410014,0.9127906976744186,0.917892521946636,172.0,0.0,0.0,0.07142857142857142,0.07104617992922724,0.9285714285714286,0.9286970598138189,14.0
27,1.0,0.8694864431158492,0.0,0.1348271317532768,0.0,0.0,10.0,0.8607594936708861,0.8545249305125256,0.10126582278481013,0.10338992701042238,0.0379746835443038,0.04042347973136972,79.0,0.5537190082644629,0.5594485237793638,0.26170798898071623,0.25426075298869316,0.18457300275482094,0.1861126994536169,726.0,0.3169624432521667,0.31438721769910266,0.18778373916632274,0.1908553443170215,0.49525381758151055,0.4947984484974814,2423.0,0.09932497589199614,0.09996698412499852,0.1870781099324976,0.18634959560836628,0.7135969141755063,0.7138683981031876,1037.0,0.027777777777777776,0.025034678799315216,0.06666666666666667,0.05748492553934413,0.9055555555555556,0.9183332062674702,180.0,0.0,0.0,0.05,0.06630373083776885,0.95,0.9335455470199358,20.0
28,1.0,0.8829504844842182,0.0,0.1216309341133815,0.0,0.0,12.0,0.85,0.8506496485512761,0.1,0.10497422658127607,0.05,0.04259796683394366,80.0,0.5629228687415426,0.5627192698090692,0.2598105548037889,0.25403974428115944,0.17726657645466848,0.18308493771036952,739.0,0.3164983164983165,0.3147533049332559,0.18897306397306396,0.19131980577198657,0.49452861952861954,0.49394372027131533,2376.0,0.0982824427480916,0.09866116991903638,0.18797709923664122,0.1874340070171396,0.7137404580152672,0.7139788029246097,1048.0,0.025380710659898477,0.025316724835351877,0.07106598984771574,0.05629674510341596,0.9035532994923858,0.9189477860491339,197.0,0.0,0.0,0.0,0.0606881669330627,1.0,0.9392223788916416,23.0
29,1.0,0.8971855664509718,0.0,0.10766525723485568,0.0,0.0,13.0,0.8390804597701149,0.8469479533014878,0.11494252873563218,0.10639672252800696,0.04597701149425287,0.04475931846301274,87.0,0.5630810092961488,0.566032922171443,0.25232403718459495,0.25379192376023574,0.1845949535192563,0.18006300597082142,753.0,0.31644482610562474,0.3150881906914165,0.1906397595534564,0.191963591797091,0.49291541434091884,0.4928804307885202,2329.0,0.09811320754716982,0.09728490335435602,0.19150943396226416,0.1883609322871704,0.710377358490566,0.7144181551095519,1060.0,0.024154589371980676,0.02564441971043217,0.06280193236714976,0.055110023388546446,0.9130434782608695,0.9195812551070317,207.0,0.0,0.0,0.0,0.05479555939815341,1.0,0.9451696986522878,26.0
